id,nome,email,telefone,endereco,cidade,estado,data_nascimento,valor_compra,categoria_produto,forma_pagamento,status_pedido,data_pedido
9045,Dra. Stella Viana,sophie96@example.com,(061) 8628-1832,"Aeroporto de Pastor, 305
Conjunto Bonsucesso
86690217 Aragão / AP",Siqueira,RR,1991-02-09,939.45,Alimentos,Boleto,Cancelado,2025-05-28 15:21:58
9046,Valentina Brito,qlima@example.org,+55 81 7470-3240,"Distrito de Montenegro, 591
Santa Helena
16242-151 Guerra / GO",Lima do Norte,PA,1952-09-07,108.54,Livros,Boleto,Cancelado,2024-09-01 11:50:03
9047,Ana Liz Fernandes,olivia21@example.com,+55 21 3072 8900,"Distrito Nathan Machado, 2
Concórdia
99374-782 Castro das Pedras / RR",Cavalcanti,PB,1995-07-22,824.59,Livros,Boleto,Em Processamento,2025-04-26 04:32:55
9048,Leonardo Santos,qcavalcante@example.net,31 3055 5538,"Aeroporto Cecília da Rosa, 30
Maravilha
90655-471 da Cunha / SC",da Luz,SE,1955-12-09,1164.07,Livros,PIX,Cancelado,2024-07-05 07:35:31
9049,João Miguel Sales,carvalhocaio@example.org,+55 71 2553-4562,"Passarela Silveira, 429
Serrano
94698-470 Marques de Goiás / GO",das Neves,RO,1976-01-27,1908.59,Eletrônicos,Boleto,Cancelado,2025-06-15 04:36:21
9050,Maria Helena Viana,correiaisabel@example.org,21 5769-5290,"Condomínio da Cruz, 15
Vila Piratininga
43974-262 Barbosa / PB",Cirino Grande,PB,2000-07-16,1057.64,Vestuário,Boleto,Entregue,2024-09-08 03:43:53
9051,Bento da Luz,maria-helena56@example.org,+55 31 0006 9253,"Rodovia de Pires
Vila Real 2ª Seção
75411-039 Pastor de Costela / AP",Ferreira do Sul,ES,2001-11-06,1647.26,Móveis,PIX,Cancelado,2024-08-02 02:56:30
9052,Natália Costa,isaac46@example.net,+55 41 4212 1236,"Ladeira Lorena Novaes, 107
São Gabriel
06787975 Sampaio de Goiás / DF",Pires de Cunha,MT,1981-06-09,1116.9,Alimentos,Transferência,Concluído,2024-12-23 07:34:15
9053,Ana Luiza Costela,pachecoana-clara@example.com,(081) 8995-3649,"Morro da Rosa, 82
Vila Nova Dos Milionarios
41509-608 Câmara / SE",da Paz Alegre,AM,1966-11-04,129.53,Móveis,PIX,Em Processamento,2024-06-22 15:16:50
9054,Augusto Lopes,abreudavi-luiz@example.com,(031) 4888-1117,"Ladeira Fogaça, 9
Nova Floresta
29968335 Monteiro / RO",Siqueira do Oeste,ES,2006-01-07,664.27,Alimentos,Boleto,Entregue,2025-04-23 00:50:43
9055,Olivia Caldeira,limaleticia@example.org,(041) 4590-4706,"Praia Costela, 97
Conjunto Minas Caixa
27773-919 da Luz / MS",Lima,SE,1973-10-13,1172.32,Eletrônicos,Cartão de Crédito,Concluído,2024-07-27 04:10:44
9056,Ana Laura Porto,isabellyda-paz@example.org,+55 81 4926-2925,"Jardim de das Neves, 87
Piratininga
51153-085 da Mota de Brito / SC",Silva,MA,1976-01-14,1903.66,Móveis,PIX,Em Processamento,2025-03-03 03:17:28
9057,Anthony Gabriel Alves,thiagocamargo@example.net,51 5186 5123,"Largo de Freitas, 232
Vila Santo Antônio
28725991 Moura / MA",Silveira Alegre,PA,1986-08-07,1725.3,Eletrônicos,PIX,Em Processamento,2025-03-27 03:23:30
9058,Henrique Fernandes,fariasrafaela@example.net,(081) 3037-8261,"Fazenda Duarte, 4
Conjunto Lagoa
41691525 Guerra / BA",Ferreira,RJ,1968-07-27,495.29,Eletrônicos,Transferência,Cancelado,2024-07-29 04:03:41
9059,Maria Isis Farias,laranovaes@example.net,(021) 2651-7494,"Recanto Santos, 13
Vila Canto Do Sabiá
68065170 Duarte da Prata / PB",Duarte,BA,1986-10-05,479.21,Móveis,Boleto,Em Processamento,2024-08-15 10:54:37
9060,Evelyn Câmara,henrique58@example.net,31 2854-4552,"Rodovia de Albuquerque, 71
São Salvador
99300272 Cavalcanti / GO",Rezende,PI,1999-05-02,442.29,Móveis,Cartão de Crédito,Em Processamento,2025-01-07 22:24:28
9061,Ana Júlia Araújo,caroline04@example.org,+55 31 0301 6034,"Rua Nunes, 26
Vila Madre Gertrudes 2ª Seção
19789185 da Mata / SE",Peixoto de Martins,PE,1999-04-11,1848.87,Alimentos,PIX,Cancelado,2025-03-08 02:24:42
9062,Maria Julia Martins,monteiromilena@example.net,+55 (084) 4575 0255,"Conjunto de Dias, 51
Barroca
39317359 Borges de Sales / RS",Borges da Serra,RJ,1998-11-23,1712.7,Livros,PIX,Entregue,2024-12-12 17:46:40
9063,Dr. Lucas Gabriel Andrade,zbarros@example.com,+55 (011) 1812 3928,"Campo de da Luz, 779
Parque São José
48863-292 Souza / RJ",da Luz,PE,1986-07-19,1561.02,Eletrônicos,PIX,Cancelado,2025-01-03 15:43:45
9064,Dra. Lavínia Pires,joanada-costa@example.com,(061) 2253 1980,"Aeroporto Farias, 77
Mala E Cuia
36596892 Nascimento de Dias / SC",Moura,RO,1948-04-18,815.83,Vestuário,Cartão de Crédito,Entregue,2025-02-03 20:32:29
9065,Alana Mendonça,maria-ceciliaaraujo@example.org,(031) 8577-8278,"Parque de da Cunha, 199
Novo Santa Cecilia
86330-833 Sá Grande / CE",Melo,MT,1985-11-10,1033.54,Alimentos,PIX,Em Processamento,2025-04-14 00:38:22
9066,Davi Miguel Peixoto,paulo38@example.org,+55 (011) 3227-0801,"Feira de Fernandes
Urca
10038301 Santos / BA",Ribeiro Verde,MS,1977-05-14,955.45,Alimentos,PIX,Concluído,2025-02-13 19:58:01
9067,Samuel da Costa,ana-sophiaoliveira@example.com,(031) 1688 1752,"Vale Luiz Henrique da Luz, 3
Vitoria Da Conquista
42060049 Mendes de Brito / CE",Machado do Sul,PI,1999-03-24,544.13,Livros,Cartão de Crédito,Entregue,2025-04-29 15:09:46
9068,Theo Carvalho,dvargas@example.net,11 4359 1016,"Setor Viana, 42
Marçola
28623561 Caldeira de Rodrigues / DF",Vargas,PI,1976-06-09,1034.8,Livros,PIX,Entregue,2024-10-18 08:51:37
9069,Igor Cardoso,araujobreno@example.org,(011) 5747 0604,"Colônia de Pimenta
Leticia
51263303 Nunes / PE",Aragão de Gonçalves,PE,1951-09-27,109.47,Eletrônicos,Cartão de Crédito,Entregue,2024-08-01 19:20:59
9070,Eloá Câmara,pachecojoao-vitor@example.com,+55 11 0984 1552,"Avenida Benjamim Rezende, 64
Horto Florestal
05040167 Abreu do Amparo / SC",Aparecida,ES,1967-05-06,307.03,Alimentos,Transferência,Entregue,2024-09-28 11:16:32
9071,Bryan Cirino,qfarias@example.net,+55 81 7679-8320,"Ladeira Clarice Pinto
Vila Satélite
07475409 da Mata do Campo / ES",Porto do Norte,SE,1982-03-03,1778.85,Alimentos,Cartão de Crédito,Em Processamento,2024-07-02 15:48:17
9072,Juan Rios,jose-miguel73@example.org,84 9746-8867,"Vale da Mota, 275
Fazendinha
09098488 Novais / CE",Gonçalves da Praia,DF,1960-10-25,1515.78,Vestuário,Transferência,Concluído,2025-05-27 14:49:42
9073,Calebe Mendonça,pastorravi@example.com,(081) 6149-0986,"Chácara Daniela Campos, 5
Casa Branca
46384140 Silva de Goiás / RS",Cavalcanti da Mata,AM,1998-06-13,874.59,Eletrônicos,Cartão de Crédito,Entregue,2024-06-19 03:22:28
9074,Maria Sophia Rodrigues,luiza67@example.com,0900-596-0088,"Fazenda Cecilia Cassiano, 99
Santa Terezinha
52042-333 Peixoto / RN",Santos de Aragão,MA,1966-09-02,1058.44,Eletrônicos,Boleto,Concluído,2024-09-19 22:46:59
9075,Heitor Fogaça,moreiramaria@example.net,+55 (041) 5779-6477,"Rodovia Benjamim Pimenta, 56
Vila Pinho
13834745 Sá / RN",Cavalcante de Sampaio,RS,1988-09-08,771.5,Livros,PIX,Em Processamento,2025-04-17 05:47:25
9076,Ayla Correia,ncarvalho@example.org,+55 51 1184 3117,"Pátio de Nogueira, 22
Vila Dos Anjos
45186589 Cassiano / RS",Abreu,CE,1964-11-10,1494.52,Eletrônicos,Transferência,Entregue,2025-04-29 18:12:45
9077,Arthur Gabriel Silva,daniela90@example.org,+55 81 8193-9632,"Jardim Manuela Porto, 68
Vila Bandeirantes
98755962 Dias Paulista / BA",Barbosa Alegre,SE,1949-07-12,1579.16,Vestuário,PIX,Concluído,2024-09-25 06:37:04
9078,Dr. Luiz Miguel Sousa,ocamargo@example.net,41 8300-6146,"Ladeira de Andrade, 8
Nossa Senhora Do Rosário
29287-995 Farias de Silveira / SE",Peixoto da Praia,MA,1956-05-04,1538.41,Eletrônicos,PIX,Entregue,2024-08-21 12:09:04
9079,Srta. Julia Ribeiro,nda-mata@example.com,84 7531-0094,"Condomínio de Ramos, 14
Mangueiras
16033413 Viana das Pedras / SE",da Paz Verde,PA,1982-07-30,1459.09,Móveis,Cartão de Crédito,Entregue,2024-06-23 14:49:07
9080,Théo Aragão,davi-luiz09@example.com,0900-189-4495,"Loteamento Oliver Teixeira, 71
Vila Madre Gertrudes 3ª Seção
43962-239 Leão / TO",Nunes,AP,1997-09-20,448.78,Móveis,Boleto,Em Processamento,2025-02-02 13:50:27
9081,Gael da Luz,nvasconcelos@example.org,(081) 1684-7631,"Conjunto Câmara
Engenho Nogueira
27268490 Macedo / DF",Novais,PA,1984-10-09,709.04,Vestuário,Cartão de Crédito,Entregue,2025-05-16 04:47:05
9082,Ágatha da Cunha,umoura@example.com,81 2150 1802,"Conjunto de Alves, 97
Vila Sesc
09974-374 da Conceição / PB",Rezende de Rodrigues,GO,1957-07-27,966.2,Livros,PIX,Concluído,2025-02-07 19:11:15
9083,Theo Vargas,pietraramos@example.net,61 8691 1356,"Trecho de Mendonça, 81
Lajedo
95606-022 Pimenta do Oeste / TO",Araújo da Serra,PA,2001-05-23,695.05,Alimentos,Cartão de Crédito,Concluído,2024-06-21 21:38:50
9084,Lucas Aparecida,pachecoheitor@example.org,0800-518-6551,"Favela Luara Cavalcanti
Parque São José
00093-345 Silva / RN",Aragão do Sul,DF,1944-07-10,1522.13,Eletrônicos,Transferência,Em Processamento,2025-01-27 15:39:15
9085,Leandro Cavalcante,clariceandrade@example.com,21 2805-3713,"Núcleo Aparecida, 9
Virgínia
32742830 Melo da Prata / BA",Gomes,RN,1987-09-21,692.24,Livros,Boleto,Cancelado,2024-12-19 17:14:18
9086,Dr. Igor Casa Grande,carlos-eduardocardoso@example.com,+55 (051) 6609-9882,"Colônia Aparecida, 263
Vila Jardim Leblon
31247630 Siqueira de Correia / RN",da Cunha de Araújo,MG,1994-07-24,319.55,Livros,PIX,Cancelado,2024-12-21 11:05:44
9087,Otávio Fonseca,azevedogael-henrique@example.org,(051) 4824 6136,"Pátio Barros, 8
Vila Inestan
53157-207 Camargo do Amparo / PE",Silva Grande,TO,1972-07-26,828.13,Eletrônicos,Cartão de Crédito,Em Processamento,2025-03-02 03:37:23
9088,Noah Vieira,luizacaldeira@example.org,11 1095-9621,"Fazenda de Castro
Granja Werneck
65165657 Cunha de Mendes / PB",Cavalcanti do Campo,SC,2004-11-26,1960.83,Alimentos,Transferência,Em Processamento,2024-08-12 10:39:05
9089,Lorenzo da Mata,rochabenicio@example.net,+55 61 9842-8368,"Condomínio de Alves, 5
Prado
44303-229 Novaes / CE",Pereira do Amparo,MG,1946-12-21,490.47,Eletrônicos,Boleto,Cancelado,2024-07-12 20:29:21
9090,Mariane Novaes,knascimento@example.net,0800 109 6388,"Campo Nascimento, 42
Santa Inês
59860-141 Freitas / PI",Sousa,MA,1981-11-17,1243.71,Alimentos,Cartão de Crédito,Cancelado,2025-01-28 18:55:36
9091,Thomas Melo,hdas-neves@example.org,+55 (081) 8454 8794,"Distrito Davi Lucca da Cruz, 4
Sagrada Família
56891-027 Silva / PR",Andrade de Minas,AP,1990-10-13,894.3,Vestuário,Cartão de Crédito,Concluído,2024-06-30 05:29:02
9092,Rebeca Barbosa,aragaocecilia@example.org,+55 (021) 8343 7656,"Parque Sousa, 26
Braúnas
46053717 Costa Verde / AP",Barros das Pedras,RS,1964-06-11,188.5,Alimentos,PIX,Concluído,2024-08-20 09:12:14
9093,João Siqueira,oribeiro@example.net,(061) 2796-6467,"Núcleo de Ribeiro, 4
São Francisco
47421-577 Rocha da Praia / RS",Garcia,PR,1972-06-26,1001.36,Livros,Transferência,Concluído,2024-09-05 08:34:10
9094,Luan da Rosa,elisa27@example.net,+55 (041) 8713 6752,"Aeroporto da Mata
São Marcos
61958186 Borges / AM",Santos,PI,1988-10-05,1419.22,Vestuário,Boleto,Cancelado,2024-07-20 05:47:44
9095,Olívia Garcia,lais72@example.org,(081) 0877-5519,"Avenida Brenda Fernandes, 3
Lajedo
78773795 Novais / MA",Cassiano do Campo,AP,1982-10-23,1050.78,Móveis,Cartão de Crédito,Em Processamento,2024-07-11 13:23:42
9096,Dr. Caio Camargo,ana-juliada-mota@example.net,51 6126 4734,"Chácara de Silva, 380
Vila Madre Gertrudes 3ª Seção
36030-158 Marques Paulista / SE",Araújo,PI,1988-01-19,1750.61,Vestuário,Boleto,Entregue,2025-03-31 17:22:39
9097,Lorenzo Santos,isaquecassiano@example.net,+55 (031) 9471-7839,"Feira de Martins, 19
Vila Bandeirantes
75983542 Leão do Oeste / PE",Ribeiro de Peixoto,MT,1945-08-24,613.43,Alimentos,Transferência,Concluído,2025-02-03 11:53:02
9098,Maya Cardoso,rmelo@example.org,31 4788 9482,"Condomínio Juliana Pereira, 29
Dom Bosco
15440077 Pastor de Pastor / CE",Vasconcelos de Peixoto,TO,1960-07-17,218.19,Vestuário,PIX,Entregue,2024-10-10 11:52:15
9099,Dr. Theo Teixeira,vrocha@example.org,21 3422 1004,"Aeroporto Carvalho, 48
Buraco Quente
29106220 Garcia / AM",da Mata,RJ,1975-05-21,1876.3,Vestuário,PIX,Em Processamento,2024-08-30 02:10:18
9100,Gustavo Guerra,tmartins@example.net,84 0158-2568,"Condomínio Moura, 15
Vila Santo Antônio Barroquinha
14475160 Almeida das Flores / AM",Lima,AL,2005-08-23,787.48,Móveis,PIX,Cancelado,2025-03-11 11:20:39
9101,Rael Garcia,brenda76@example.com,+55 84 9790-1909,"Sítio Allana da Conceição
Santa Isabel
50078135 Montenegro / AC",Moreira,AL,1957-07-17,1173.99,Alimentos,Boleto,Concluído,2025-02-05 15:28:13
9102,Lucas Gabriel Aragão,abreurenan@example.com,(081) 7153-5837,"Rodovia Borges, 39
Cachoeirinha
94041-436 da Paz / AL",Albuquerque das Pedras,PI,1965-04-30,1594.41,Livros,Boleto,Cancelado,2024-09-23 21:34:54
9103,Emanuelly Novaes,maria-fernanda88@example.org,+55 (041) 9600-8465,"Praia Melissa Cassiano, 1
Nossa Senhora Aparecida
99261841 Castro / SE",Lopes do Campo,PI,1974-02-17,682.41,Vestuário,Cartão de Crédito,Em Processamento,2025-01-06 14:37:27
9104,Dra. Júlia Martins,fmoraes@example.org,+55 (031) 8476 4763,"Via Bruno Alves, 928
Silveira
64169496 Ribeiro / ES",Camargo de Goiás,SE,1993-06-22,1446.52,Eletrônicos,Transferência,Concluído,2025-03-13 04:50:17
9105,Josué Farias,sampaioleo@example.org,71 7787 3679,"Residencial de Martins, 84
Oeste
15834-971 Rezende / TO",Camargo de Silva,GO,1965-12-23,314.07,Livros,Transferência,Em Processamento,2024-12-19 01:42:58
9106,Sr. Dante Pastor,gustavomachado@example.org,+55 31 5785-1811,"Parque Abreu
Nova Floresta
03883491 Vasconcelos da Mata / AM",Borges de Machado,RN,2000-12-05,618.02,Vestuário,Transferência,Em Processamento,2025-05-29 08:24:00
9107,Mateus Rocha,maria-helena08@example.net,+55 84 0325-5277,"Sítio de Carvalho, 66
Vila Formosa
94032198 Castro / SC",Azevedo das Pedras,GO,1976-07-31,332.19,Livros,Boleto,Concluído,2025-03-10 06:36:51
9108,Fernanda Aparecida,asafecamara@example.org,61 2453-0876,"Estrada Silva, 99
Grotinha
88044677 Ribeiro de Teixeira / SP",da Mota do Campo,AC,2005-11-06,1631.9,Eletrônicos,PIX,Entregue,2024-10-15 05:48:55
9109,Melina Silva,mcastro@example.org,71 0960-8975,"Quadra João Sales
Ipiranga
12925672 Carvalho / SP",Machado de Farias,RO,1964-01-26,484.17,Livros,Transferência,Concluído,2025-05-31 17:02:14
9110,Marcelo Cardoso,oliver27@example.net,+55 71 3476 3989,"Viela Milena Azevedo, 63
Serra
60663-828 Martins do Galho / BA",Santos,RS,1984-02-21,1448.94,Livros,Cartão de Crédito,Cancelado,2024-12-25 15:36:34
9111,Mariane da Cruz,lorena71@example.net,+55 21 4353 5746,"Pátio Pinto, 59
Horto
86463-743 Souza / AM",Aragão,BA,1961-01-18,1889.43,Eletrônicos,Boleto,Entregue,2024-12-31 10:36:28
9112,Levi Pastor,otto95@example.com,+55 (081) 8446 7530,"Viaduto de Novais, 33
São Jorge 2ª Seção
80138581 Lima / DF",Pereira,PE,1986-07-07,1079.16,Eletrônicos,PIX,Concluído,2024-11-26 21:15:18
9113,Luiz Gustavo Porto,meloclarice@example.com,+55 (011) 8429 8587,"Recanto Olívia Machado, 74
União
66709-815 Brito / PR",Aragão de Peixoto,SC,2002-12-01,1103.06,Eletrônicos,Transferência,Concluído,2025-03-11 21:25:11
9114,João Gabriel Campos,piresemilly@example.net,51 5419 9881,"Praia de Barbosa, 542
Olaria
97410-295 Mendonça do Amparo / PI",Siqueira,PI,1954-03-16,949.02,Móveis,PIX,Concluído,2024-08-11 06:42:55
9115,Rafael Farias,sousagustavo@example.org,+55 (051) 4145-5808,"Chácara de Santos, 16
Colégio Batista
60184-587 Leão das Pedras / MA",Casa Grande,MT,1966-05-20,685.49,Eletrônicos,Cartão de Crédito,Concluído,2024-08-09 15:48:19
9116,Emanuelly Araújo,maria-vitoriaazevedo@example.com,0800 272 9714,"Praça Hellena Ferreira, 74
Acaba Mundo
57218460 Nascimento / AL",Câmara,GO,1946-11-29,977.53,Livros,Transferência,Concluído,2024-09-14 17:26:37
9117,Dr. Apollo Siqueira,maria-vitoria59@example.net,0900-859-0169,"Rodovia Santos
Flamengo
80885-903 da Mota de Abreu / GO",Farias,PB,1946-08-24,1225.47,Eletrônicos,Transferência,Cancelado,2024-12-27 01:38:11
9118,Sophie Almeida,rezendemaria-vitoria@example.net,+55 (071) 6189-7027,"Quadra Carlos Eduardo Câmara, 80
Gameleira
58116-743 Cavalcanti / AL",Carvalho,MG,1947-11-29,1972.68,Vestuário,PIX,Em Processamento,2024-10-19 14:19:11
9119,Vitor Hugo Nascimento,maria-laura03@example.org,+55 (051) 5110-6907,"Residencial Casa Grande
Vila Santa Monica 2ª Seção
12194035 Cassiano / CE",Cirino,SC,1963-02-07,1878.64,Eletrônicos,Boleto,Cancelado,2025-03-22 04:58:25
9120,Maria Liz Santos,leaopietra@example.org,+55 (021) 5766-5357,"Sítio João Pedro Silveira, 73
Capitão Eduardo
55118-922 Albuquerque / SC",Pimenta de Sales,RJ,1952-06-02,1731.2,Eletrônicos,PIX,Em Processamento,2025-05-14 20:37:58
9121,Rafael Nogueira,marinadias@example.net,+55 51 4090 2910,"Viela Rios, 66
Candelaria
16636501 Correia de Viana / PE",Cunha,RS,1969-01-04,1783.8,Alimentos,Cartão de Crédito,Concluído,2025-01-18 18:13:39
9122,João Vitor Brito,bentoda-cunha@example.net,+55 (071) 3748-7666,"Núcleo Fernandes, 8
Dona Clara
62402-751 da Rocha do Sul / DF",Leão,MG,1981-08-21,962.31,Livros,PIX,Cancelado,2024-08-19 05:10:46
9123,Sr. Rodrigo Farias,garciabryan@example.com,21 5600-3978,"Passarela Benjamim Silva, 93
Acaba Mundo
24520-971 da Costa de Cavalcanti / MG",Casa Grande,AP,2003-10-07,1332.02,Livros,PIX,Em Processamento,2025-04-10 16:21:42
9124,Liz Cavalcanti,alvesdom@example.org,+55 (021) 2822 1025,"Loteamento Guilherme Leão, 90
Tupi A
55419658 da Cunha de Goiás / AC",Moreira das Flores,PR,2004-07-31,1795.38,Vestuário,Transferência,Em Processamento,2024-08-18 02:08:28
9125,Ana Vitória da Mata,luiz-otavio63@example.org,+55 81 4446-5346,"Vereda Ravi Lucca Duarte
Lagoinha Leblon
36510020 Melo do Galho / SP",Silveira,SC,1956-12-09,816.25,Móveis,Boleto,Concluído,2024-07-26 04:31:47
9126,Sr. Henry Gabriel Campos,laisgomes@example.net,+55 (061) 7591-1237,"Conjunto Gustavo das Neves, 30
Embaúbas
44628886 Jesus dos Dourados / RR",Cavalcante,TO,1947-02-04,1925.44,Alimentos,Boleto,Concluído,2024-07-29 10:12:33
9127,Sra. Luana Camargo,wsa@example.org,(021) 0603-6579,"Avenida Oliveira, 96
Santa Rita De Cássia
15977166 Correia / BA",Cavalcante,CE,2006-04-15,860.78,Vestuário,Boleto,Entregue,2025-05-03 02:20:13
9128,Sr. Josué da Conceição,vieiraisabella@example.org,+55 (071) 0901-3545,"Alameda Rios, 6
Vitoria Da Conquista
15391060 Ribeiro / BA",Caldeira da Serra,PA,1946-06-08,1222.11,Vestuário,Boleto,Entregue,2024-09-26 12:52:07
9129,Bella Porto,manuella37@example.net,+55 41 7905-5852,"Estrada Machado, 66
Santa Branca
05293829 Dias de Câmara / AP",Macedo,RR,1944-10-02,1434.12,Livros,PIX,Em Processamento,2024-09-10 18:15:41
9130,Antonella Gomes,marcelo75@example.com,+55 84 4011 3610,"Quadra Matheus Correia, 2
Santa Rita De Cássia
34016-841 Cardoso da Prata / PE",da Costa,DF,1974-12-13,1903.65,Alimentos,Transferência,Entregue,2024-09-04 04:11:46
9131,Theo Câmara,marcela93@example.net,+55 (084) 0743-8956,"Passarela Bruna Novais, 18
Jardim Guanabara
18416308 Monteiro / MG",Machado,TO,1948-10-31,527.0,Livros,Transferência,Cancelado,2024-08-22 15:49:53
9132,Benício da Luz,gustavo-henrique96@example.org,(041) 2680 1949,"Rodovia de Martins, 79
Itaipu
71442593 Campos Grande / RS",Barros,GO,1962-09-29,1504.96,Móveis,Boleto,Em Processamento,2025-06-16 15:24:26
9133,Breno Gonçalves,qpinto@example.org,+55 71 4256-9718,"Rodovia Pastor, 40
Universo
83694-992 Araújo da Prata / AC",da Costa dos Dourados,AL,2002-12-23,1065.59,Livros,PIX,Cancelado,2024-09-10 01:09:56
9134,Cauã Pires,martinssophie@example.org,(041) 5458-7047,"Lagoa Moraes
Bom Jesus
04133529 Pires / PR",Moraes das Flores,SC,1958-09-24,573.69,Eletrônicos,Boleto,Entregue,2025-04-19 13:17:34
9135,Ana Sophia Cirino,benjamimsales@example.com,(021) 3264 0585,"Campo de Sales, 1
São Francisco
44780561 Martins / AP",Peixoto da Prata,TO,1994-06-10,1564.38,Livros,Boleto,Cancelado,2025-03-25 06:32:48
9136,Sra. Bárbara Novais,agathateixeira@example.net,41 3354-0083,"Aeroporto de Sampaio, 812
Guaratã
66968-739 Silva do Campo / RN",Garcia,SC,1951-02-03,1126.83,Eletrônicos,Transferência,Em Processamento,2025-04-01 03:15:32
9137,Luiz Miguel Gonçalves,correiajulia@example.com,11 3426 7898,"Setor Andrade
Novo Das Industrias
67718625 Camargo / TO",Pastor das Flores,GO,1984-07-07,1338.9,Vestuário,Transferência,Cancelado,2024-10-30 23:36:10
9138,Matteo Silva,tcampos@example.net,84 0223 2898,"Feira Souza, 716
Universitário
46657-199 Monteiro / PE",Macedo,RN,2001-02-23,679.66,Móveis,Boleto,Em Processamento,2024-09-10 00:17:56
9139,Mariah Fogaça,caleb87@example.net,+55 84 2971 7649,"Rua de Aragão, 34
Alípio De Melo
10528878 Pacheco / RN",Silva,AL,1992-02-21,988.48,Eletrônicos,PIX,Entregue,2024-08-13 04:58:23
9140,Alícia Farias,fnovais@example.com,+55 (081) 1986-1795,"Chácara Montenegro
Vila Primeiro De Maio
87673977 da Mata Alegre / PR",Sousa,GO,2002-10-21,1253.84,Móveis,Boleto,Em Processamento,2024-10-31 18:54:35
9141,Isabelly Aragão,joana85@example.org,(021) 8882 5206,"Campo de Guerra, 29
Venda Nova
65434-985 Pinto da Praia / SP",Pires,ES,1997-02-22,839.58,Livros,Transferência,Entregue,2024-09-18 17:51:04
9142,Thomas Araújo,heloisadias@example.org,0900 034 8936,"Esplanada Cassiano, 111
Aguas Claras
34219-966 Ribeiro / AL",Novais,AC,1945-01-19,436.83,Livros,Transferência,Concluído,2024-10-20 01:44:40
9143,Ravi da Luz,biancasousa@example.org,+55 (081) 1963-1115,"Recanto Gonçalves, 40
Casa Branca
53830351 Cirino / PA",Leão de Rocha,MT,1952-12-04,1925.2,Vestuário,PIX,Entregue,2025-03-22 04:04:35
9144,Camila Dias,sara03@example.com,(041) 8425 8096,"Feira Rezende, 71
Copacabana
55808-311 Montenegro / CE",Rezende,RR,1963-12-15,1047.36,Livros,Boleto,Em Processamento,2025-02-07 00:45:43
9145,Oliver da Costa,elisa02@example.net,+55 84 5676 1232,"Estação Moraes, 42
Conjunto Capitão Eduardo
53413-464 Casa Grande Grande / PR",da Luz Verde,DF,1972-05-19,1481.14,Eletrônicos,Boleto,Em Processamento,2024-12-10 06:01:07
9146,Dr. Felipe Fonseca,ester93@example.com,(081) 6536-1256,"Trevo Calebe Cavalcante
Bacurau
27866-250 Novais / MG",Ramos Paulista,ES,1977-08-24,851.54,Vestuário,Cartão de Crédito,Concluído,2024-06-18 13:04:25
9147,Mathias Araújo,aylla22@example.org,(011) 1028 1978,"Praia de Camargo, 35
Vila Nova Cachoeirinha 3ª Seção
68233-919 Jesus de da Rosa / MG",Albuquerque,MA,1986-03-07,742.51,Móveis,Boleto,Concluído,2024-07-11 09:45:40
9148,Camila Castro,da-rochaluan@example.net,+55 (011) 2239-8087,"Avenida Castro, 3
Pongelupe
45491623 Moreira do Amparo / RJ",Vasconcelos,RS,1983-12-25,843.97,Vestuário,PIX,Entregue,2024-12-22 16:56:02
9149,Zoe Leão,melissa35@example.net,+55 (051) 3287-3746,"Conjunto de Machado, 43
Sion
78362-969 Sales de Silveira / CE",Azevedo,PA,1996-09-21,847.93,Móveis,Transferência,Cancelado,2024-07-06 15:35:44
9150,José Miguel Rios,emilly58@example.com,+55 41 0296-9285,"Área Sarah Azevedo, 1
Vila São João Batista
88901-135 Lopes / AP",Porto de Silveira,MS,1995-12-24,1111.15,Alimentos,Cartão de Crédito,Cancelado,2024-11-30 07:09:00
9151,Nina Brito,duartemanuella@example.net,81 7901-9160,"Condomínio de Gomes, 716
Eymard
94811-838 Marques Verde / PE",Martins,RN,1959-08-16,1109.77,Eletrônicos,PIX,Concluído,2024-06-17 13:26:59
9152,Camila Guerra,rguerra@example.net,81 3133-0393,"Condomínio Gael Moreira, 46
Conjunto Capitão Eduardo
39478-275 Almeida Grande / RN",da Mota das Pedras,MA,1954-03-22,1019.45,Eletrônicos,PIX,Entregue,2024-11-13 14:10:41
9153,Mariah Macedo,catarinamoura@example.net,+55 71 4277 3081,"Ladeira de Campos
Conjunto São Francisco De Assis
16154689 da Cruz Verde / RN",Abreu,BA,1968-11-23,312.83,Móveis,Cartão de Crédito,Concluído,2024-07-09 05:05:08
9154,Carlos Eduardo Nunes,eduarda99@example.com,0900-457-6864,"Pátio Silva
Pindura Saia
78291-280 Montenegro / PB",Cunha da Serra,GO,1945-05-16,1017.35,Livros,Boleto,Concluído,2024-09-28 00:37:27
9155,Nicole Caldeira,lorenzo92@example.net,+55 31 5546 6861,"Esplanada da Rosa, 47
Jaqueline
10530252 Caldeira de Cassiano / RJ",Rodrigues,PE,1947-02-07,379.75,Livros,Cartão de Crédito,Em Processamento,2024-07-08 22:43:54
9156,Sr. Henrique Gonçalves,sribeiro@example.com,0800 658 2620,"Vila de Teixeira, 652
Prado
85470830 Cassiano da Prata / MT",Souza,MS,1999-06-27,295.96,Alimentos,PIX,Em Processamento,2025-03-08 21:49:44
